,기입날짜,별점,옵션,후기,sentiment,
133,22.12.08.,3,모델: 프로/프로2 / 옵션: 프로01-마샬,양 쪽 끝이 고무라 그런지 올라가서 정확하게 닫히는 맛이 없네요.,0,
134,22.12.04.,3,모델: 에어팟 프로/프로2 / 옵션: 프로48-네이비(프로2),싼맛에 쓰는 그저 그런 제품,0,
135,22.11.30.,3,모델: 프로/프로2+보호캡 / 옵션: 프로04-인스타+보호캡,디자인은 이쁜데 아. . 모지? 원래 입구 양쪽이 이렇게 벌어지나요?? ㅠ ㅠ 또 케이스가 에어팟보다 더커서 모서리사면이  벗겨질꺼같아요. . 흐물흐물,0,
136,22.11.17.,3,모델: 프로/프로2+청소솔 / 옵션: 프로22-카메라블루+청소솔,잘 쓰겠습니다...,1,
137,22.11.09.,3,모델: 에어팟 1/2세대+카라비너 / 옵션: 11-불독레드,겁나커요 작은거사세요,0,
138,22.10.19.,3,모델: 에어팟 1/2세대+카라비너 / 옵션: 11-불독레드,배송 빠르고 좋아요 근데 케이스가 꽉 맞는게아니라 쫌 큰느낌이네요?,0,
139,22.08.05.,3,모델: 에어팟 1/2세대 공용 / 옵션: 102-베이직네이비,무난하네요...........,1,
140,21.10.07.,3,모델: 1.에어팟 1／2세대 / 옵션: 35-배그가방 그레이,배그 가방 케이스는 실용성 제로,0,
141,21.10.05.,3,모델: 2.에어팟 1／2세대 / 옵션: 16-엠엔엠즈 옐로우,"퀄리티는 그냥 그래요
쓸만합니다",1,
142,21.10.03.,3,모델: 2.에어팟 1／2세대 / 옵션: 14-스키틀즈,"네그렇습ㄴ다
그냥산겁니다요",1,#
143,21.09.30.,3,모델: 1.에어팟 프로 / 옵션: 프로23-롤리팝 핑크,"귀여워요. 묵직하고.
근데 막대 안에 있는게 붙어있는 줄 알았는데 분리되네요. 부러진줄알고 놀랐는데 멀쩡해서 다행ㅎ",1,
144,21.09.30.,3,모델: 1.에어팟 프로 / 옵션: 프로15-스키틀즈,"많이 귀여워요!! ʕ•ᴥ•ʔ 
그치만 재질이 고무인지 무게가 있네요. 반품비가 아까워서 그냥 쓰고 다음엔 얇은 걸로 사야겠어요.",0,
145,21.09.30.,3,모델: 1.에어팟 프로 / 옵션: 프로02-마샬스피커,딱맞는게 아니라 엉성해보여요 ㅜ,0,
146,21.09.28.,3,모델: 2.에어팟 1／2세대 / 옵션: 20-환타＋키링,"귀엽긴 한데 에어팟하고 차이팟하고 사이즈가 살짝 다른가봐요,,,너무 꽉끼어서 겨우 넣었더니 아들이 또 빼고 싶다고 해서 빼다가 찢어졌네요ㅠㅠ
오리지날 에어팟 아니신분들은 소프트형으로 사는게 좋을것같아요",0,
147,21.09.27.,3,모델: 1.에어팟 프로 / 옵션: 프로02-마샬스피커,괜찮음 살짝 휜거 빼곤,0,
148,21.09.21.,3,모델: 1.에어팟 프로 / 옵션: 프로02-마샬스피커,마감이 엄청 깔끔하진 않은데 귀여워요,0,
149,21.09.16.,3,모델: 1.에어팟 프로 / 옵션: 프로02-마샬스피커,고무 기스랑 사이즈가 맞지않아 좀 그렇지만 나름 가성비 디자인이뻐요,0,
150,21.09.10.,3,모델: 2.에어팟 1／2세대 / 옵션: 14-스키틀즈,배송빠릅니다 제품은 조금 사이즈가 큰듯합니다,0,
151,21.09.09.,3,모델: 1.에어팟 프로 / 옵션: 프로18-어몽어스 레드,흠… 가격이 있다보니 친절한 응대는 좋았는데 제품 퀄은 좀 낮네요,0,
152,21.09.01.,3,모델: 2.에어팟 1／2세대 / 옵션: 25-스팸,"귀여움,뚜껑이 잘 열리긴 하지만 쓸만한편",0,
153,21.08.31.,3,모델: 2.에어팟 1／2세대 / 옵션: 19-스프라이트＋키링,조이패드 블랙과 스프라이트 키링 포함한 케이스 2개 주문하였는데 랜덤케이스 캐릭터가 와서 아쉽습니다 그래도 괜찮은 것처럼 보여서 좋습니다,0,
154,21.08.31.,3,모델: 2.에어팟 1／2세대 / 옵션: 06-조이패드 블랙,랜덤으로 캐릭터케이스 도착해서 아쉽긴 아쉽습니다만 그래도 괜찮습니다,0,
155,21.08.18.,3,모델: 1.에어팟 프로 / 옵션: 프로31-코카콜라＋키링,배송..포장상태양호하고 같이 온 사은품은 쏘쏘~ 생각보다 코카콜라이뻐요^^*~,1,
156,21.08.18.,3,모델: 1.에어팟 프로 / 옵션: 프로11-포카리,배송..포장상태양호하고 같이 온 사은품은 쏘쏘~ 생각보다 코카콜라이뻐요^^*~,1,
157,21.08.18.,3,모델: 1.에어팟 프로 / 옵션: 프로17-엠엔엠즈 옐로우,"잘받았습니다 
다만 중간에 잘린 부분이 딱 맞지 않아서 이쉽네요",0,
158,21.08.18.,3,모델: 1.에어팟 프로 / 옵션: 프로16-엠엔엠즈 브라운,"잘 받았어요~
다만 위아래 잘려진 부분이 좀 떠있어서 아쉽네요",0,
159,21.08.16.,3,모델: 1.에어팟 1／2세대 / 옵션: 15-엠엔엠즈 브라운,고무 새제품냄새가 좀 가더라구요,0,
160,21.02.11.,3,모델: 2.에어팟 프로 / 옵션: 프로02-스피커,다자인 너무 예쁜데 뚜껑이 한번씩 빠져버리네요 ㅠㅠ,0,
161,21.02.07.,3,모델: 2.에어팟 프로 / 옵션: 프로02-마샬스피커,"넘 예쁜데 생각보다 많이 두꺼워요.
무거워서 뚜껑이 살짝만 흔들려도 열립니다.",0,
162,21.02.07.,3,모델: 1.에어팟 1／2세대 / 옵션: 18-레드콜라＋키링,케이스도 이쁘고 좋앙ㅛ,1,
163,21.02.06.,3,모델: 1.에어팟 1／2세대 / 옵션: 08-별다방라떼,고무냄새 너무 심하고 마감처리가 울퉁불퉁해요.. 이거빼고는 좋은듯,0,
164,21.02.05.,3,모델: 1.에어팟 1／2세대 / 옵션: 05-조이패드 블랙,사이즈가 생각보다커요~사은품감사합니다🤩,0,#
165,21.02.04.,3,모델: 2.에어팟 프로 / 옵션: 프로02-마샬스피커,디자인은 이쁜데 딱맞지 않아서 불편 하네요,0,
166,21.02.02.,3,모델: 1.에어팟 1／2세대 / 옵션: 09-별다방로고,"확실히크긴하네요케이스를끼우니까..
서비스로주신게더이쁨",0,#
167,21.02.02.,3,모델: 2.에어팟 프로 / 옵션: 프로01-게임기,"디자인은 정말 예쁘네요 근데 웟부분 너무 헐거운거 아닌가요? 진짜 상상이상으로 헐겁네요 열때마다 빠지거나,조금씩밀려서 다시 눌러서 껴줘야하네요.",0,
168,21.01.31.,3,모델: 2.에어팟 프로 / 옵션: 프로01-게임기,뚜껑이 너무 잘 빠져요,0,
169,21.01.25.,3,모델: 2.에어팟 프로 / 옵션: 프로08-조이패드 블랙,사은품 주시는건 만족합니다 그런데 케이스가 잘 안빠져요,0,
170,21.01.24.,3,모델: 2.에어팟 프로 / 옵션: 프로02-마샬엠프,디자인은 이쁜데 생각보다 큽니다,0,
171,21.01.22.,3,모델: 2.에어팟 프로 / 옵션: 프로02-마샬스피커,예쁘고 귀여운데 마감이 조금 아쉽고 규격이 딱 안맞아서 쉽게 잘 열려요..ㅠ,0,
172,21.01.22.,3,모델: 1.에어팟 1／2세대 / 옵션: 06-존슨즈로션,조금 싸규려티가 나요 ㅠ,0,
173,21.01.19.,3,모델: 1.에어팟 1／2세대 / 옵션: 02-스피커,"2세대 케이스는 품질도 괜찮은데
프로 철가루방지 스티커는 위아래 둘다 붙이니까 뚜껑이 안닫혀요ㅠ 
그래서 한쪽은 떼버렸네요. 그나마 닫혀요",0,
174,21.01.19.,3,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도 스위치,디자인은 정말 이뻐요 주변에서도 보면 귀엽다고 하는데 품질은 정말 별로 입니다. 윗 뚜껑이 계속 빠져요. 정말 살짝만해도 빶ㅂ니다,0,
175,21.01.19.,3,모델: 2.에어팟 프로 / 옵션: 프로01-게임기,잘 빠져요 빠른배송감사,1,#
176,21.01.18.,3,모델: 2.에어팟 프로 / 옵션: 프로01-게임기,스위치재품구입했는데 이쁘근한데 뚜겅부분이 너무 헐거워서 잘벋겨져요 ㅠㅠ,0,
177,21.01.18.,3,모델: 2.에어팟 프로 / 옵션: 프로01-게임기,디자인도 귀엽고 무선충전도 잘되는대 약간 유격이 좀 있네요 .. 커요,0,
178,21.01.17.,3,모델: 1.에어팟 1／2세대 / 옵션: 17-밀키 레드,가성비 최고입니다~~!!,1,
179,21.01.16.,3,모델: 2.에어팟 프로 / 옵션: 프로01-게임기,한번 끼면 빼기가 너무 힘드네요...,0,
180,20.10.07.,3,모델: 2.에어팟 프로 / 옵션: 프로15-포카리스웨트,디자인이 그다지 고퀄이지는 않네요,0,
181,20.10.07.,3,모델: 2.에어팟 프로 / 옵션: 프로20-코카콜라+키링,코카콜라로 시켰는데 펩시가 왔네요. 시간 아까워 그냥 씁니다만 주의가 필요할 듯 해요~,0,
182,20.10.07.,3,모델: 2.에어팟 프로 / 옵션: 프로05-불독 레드,만족합니다......,1,
183,20.10.05.,3,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도 스위치,마감떨어집니다. 아래쪽이 위쪽을 조금씩 밀어서 잘빠져요,0,
184,20.09.30.,3,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도 스위치,이뻐요 이뻐요 이뻐요,1,
185,20.09.30.,3,모델: 2.에어팟 프로 / 옵션: 프로02-마샬엠프,이뻐요 이뻐요 이뻐요,1,
186,20.09.28.,3,모델: 1.에어팟 1/2세대 / 옵션: 16-DHL 옐로우,"마샬스피커: 예쁘긴한데 뚜껑이 너무 잘열림 (관상용)
DHL: 예쁘긴한데 뚜껑이 안열림 (관상용)",0,
187,20.09.26.,3,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도 스위치,"윗뚜껑이 떨어져요....
휴..... 별로... 귀엽긴해요
본드를붘여야하나..
서비스로 이거저거 주시긴했는데 ㅠㅠ",0,
188,20.09.26.,3,모델: 1.에어팟 1/2세대 / 옵션: 04-마샬엠프,으으으 윗뚜껑이 그냥 떨어져요..귀엽긴한데..,0,
189,20.09.25.,3,모델: 2.에어팟 프로 / 옵션: 프로02-마샬엠프,"이쁘긴 진짜 이쁜데
각져서 그런건지 무거워서 그런건지 쩍하면 뚜껑 열려서 진짜 정신 바짝 차리구 다녀야해요ㅠㅠ",0,
190,20.09.25.,3,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도 스위치,"잘 받았습니다. 
귀엽고 깜찍합니다. 가성비 나쁘지 않습니다. 
다만, 사진처럼 중앙 왼쪽에 쌩뚱맞게 색이 벗겨진 부분(검정색이어야 하는데 흰색임)이 있고, 주머니에 넣고 있었더니 먼지가 많이 달라 붙습니다. 기존에 사용하던 실리콘 케이스에 비해 더 잘 달라붙습니다. 참고하세요.",0,
191,20.09.24.,3,모델: 2.에어팟 프로 / 옵션: 프로13-게임기 블랙,게임기로 시켰는데 위에 X자는 볼펜으로 그려 놓은거 마냥 되있고 사은품으로 온 잠만보는 정면에 구멍이 뚫려있었네요;;,0,
192,20.09.23.,3,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도 스위치,윗 뚜껑이 너무 잘 빠져요. 모양이나 색감은 좋아요.,0,
193,20.09.21.,3,모델: 1.에어팟 1/2세대 / 옵션: 28-스팸,생각보다 많이 크고 무겁더라고요,0,
194,20.09.20.,3,모델: 1.에어팟 1/2세대 / 옵션: 09-스타벅스 라떼,그냥 보통이에요 장난감 같은 느낌이에요,1,
195,20.09.16.,3,모델: 2.에어팟 프로 / 옵션: 프로15-포카리스웨트,포카리 캐이스는 정상제품 받았습니다,1,
196,20.09.16.,3,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도 스위치,배송이 조금 딜레이 있고 닌텐도 케이스 후면부가 오염인지 변색인지 모르겠는데 얼룩이 있어서 조금 아쉽습니다,0,
197,20.09.13.,3,모델: 1.에어팟 1/2세대 / 옵션: 24-코카콜라+키링,"포카리같은제품은  좀  무거운느낌이들구요.
코카,환타제품은  아래위가  크기가달라 갭이생겨서  불편하네요",0,
198,20.09.12.,3,모델: 1.에어팟 1/2세대 / 옵션: 01-닌텐도 스위치,배송 빨라서 좋네요 상품은 생각했던것보다 무겁네요ㅠㅠ,0,
199,20.09.11.,3,모델: 1.에어팟 1/2세대 / 옵션: 04-마샬엠프,이쁘긴하지만 잘 벗겨져서 D링 끼우면 바로 에어팟 분실 각입니다,0,
