,기입날짜,별점,옵션,후기,sentiment
108,23.04.08.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛도 깔끔하고 개별포장도  잘되어있어요. 돼지감자차는 재구매 했구요. 여주차도 기대되요.,1
109,23.04.08.,5,"삼각티백 종류 선택: 계피차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",포장 깔끔하고  맛있네요. 수고하세요,1
110,23.04.08.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 50티백x2개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",당수치 올라가서 먹는중인데 효과는 모르겠어요,0
111,23.04.08.,5,"삼각티백 종류 선택: 비트차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","구수하고 맛좋아요 ❤️
여자한테 좋다고 해서 자주 마시는 즁!",1
112,23.04.08.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","운동하면서도 마시고 몸이 부은 것 같을 땐 필수로 마셔요!
호박맛 달쿰하니 좋습니다!",1
113,23.04.08.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",아침마다 한잔씩 맛있게 마시는중~~~,1
114,23.04.07.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",아빠가 이것만 먹어서 매번 시켜요~ 100개나 되는데 다른곳보다 저렴해요~,1
115,23.04.07.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",돼지감자차 맛있어요,1
116,23.04.07.,5,"삼각티백 종류 선택: 보이차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",건강때문에 사게 됐어요! 꾸준하게 잘 마실게요ㅎㅎ건강때문에 사게 됐어요! 꾸준하게 잘 마실게요ㅎㅎ,1
117,23.04.07.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",건강때문에 사게 됐어요! 꾸준하게 잘 마실게요ㅎㅎ,1
118,23.04.07.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",건강때문에 사게 됐어요! 꾸준하게 잘 마실게요ㅎㅎ,1
119,23.04.07.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",진하고 맛있어요. 다 마시면 또 주문해서 시원하게 마셔야겠습니다.,1
120,23.04.06.,5,"삼각티백 종류 선택: 호박팥차 1g 티백 / 삼각티백 구성 선택: 10티백X5개
유통기한꽤 남았어요포장적당해요맛 만족도맛있어요",차가 맛있어요~ 포장재질 때문에 믿고 구입합니다.,1
121,23.04.06.,5,"삼각티백 종류 선택: 계피차 티백 / 삼각티백 구성 선택: 10티백X5개
유통기한꽤 남았어요포장적당해요맛 만족도맛있어요",계피차는 아직 안 마셔 봤지만 기대됩니다.,1
122,23.04.06.,5,"삼각티백 종류 선택: 우엉차 티백 / 삼각티백 구성 선택: 10티백X5개
유통기한꽤 남았어요포장적당해요맛 만족도맛있어요",차가 맛있네요. PLA 포장이라 구입했어요,1
123,23.04.06.,5,"삼각티백 종류 선택: 오미자차 티백 / 삼각티백 구성 선택: 10티백X5개
유통기한꽤 남았어요포장적당해요맛 만족도맛있어요",호박 팥차가 맛있네요~ PLA 포장이라 구입했어요.,1
124,23.04.06.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","어머님이 당뇨있으셔서 주문했어요~
티백이 편할것 같아 구입했는데
수치도 좋아져서 또 주문할께요👍🏻",1
125,23.04.06.,5,"삼각티백 종류 선택: 도라지차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송도 빠르고 양도 많아요,1
126,23.04.06.,5,"삼각티백 종류 선택: 히비스커스차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",무난무난 좋습니다아어,1
127,23.04.06.,5,"삼각티백 종류 선택: 여주차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",좋아요 아주 좋아요,1
128,23.04.06.,5,"삼각티백 종류 선택: 여주차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",틈나는되로 열심히 먹고 있습니다 감사합니다,1
129,23.04.05.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",차가 진하게 우러나 맛있습니다.,1
130,23.04.05.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요",만족합니다. 감사합니다.,1
131,23.04.05.,5,"삼각티백 종류 선택: 호박팥차 1g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",저렴한 가격과 좋은품질에 만족합니다,1
132,23.04.05.,5,"삼각티백 종류 선택: 호박차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",10번 넘게 주문하는 중입니다..!,1
133,23.04.05.,5,"삼각티백 종류 선택: 계피차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",몇년째 여러가지차를 주문해서 잘 먹고 있습니다,1
134,23.04.05.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","고소하고 거부감없이 맛있어요 ㅎㅎ
양도 많고 배송도 빠르네요",1
135,23.04.05.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","고소하고 맛있어서 커피 대신 마시기에 딱이에요
당도 내렸으면 좋겠네요 ㅠ",1
136,23.04.05.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요","이전에 직접 검색해서 전체적으로(차 종류, 포장팩 상태, 가격, 주문 조건 등) 괜찮아 보이는 스토어여서 구매했다가 마셔보고 다음에 주문하게 되면 다른 차도 사봐야겠다 했는데 너무 만족스러워서 이번에 또 재주문하려고 합니다. 지퍼백으로 된 제품이라 깔끔하게 보관하기 좋고, 티백형태라 챙겨 마시기 편하네요~! 차 종류가 엄청 많아서 하나씩 맛보고파서 지난 번에 구매하지 않았던 차들로 주문했어요.. 이번엔 3팩 구매했더니 서비스로 텀블러까지 왔네요~~ 넘 좋아용!!
 일단 목에 좋은 도라지차부터 마시는 중인데 구수하고 진하기는 엄청 진하지 않고 딱 좋은 정도.. 차 좋아하시는 분들이라면 ""해피테라스"" 스토어 추천드려요♥",1
137,23.04.05.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요","이전에 직접 검색해서 전체적으로(차 종류, 포장팩 상태, 가격, 주문 조건 등) 괜찮아 보이는 스토어여서 구매했다가 마셔보고 다음에 주문하게 되면 다른 차도 사봐야겠다 했는데 너무 만족스러워서 이번에 또 재주문하려고 합니다. 지퍼백으로 된 제품이라 깔끔하게 보관하기 좋고, 티백형태라 챙겨 마시기 편하네요~! 차 종류가 엄청 많아서 하나씩 맛보고파서 지난 번에 구매하지 않았던 차들로 주문했어요.. 이번엔 3팩 구매했더니 서비스로 텀블러까지 왔네요~~ 넘 좋아용!!
 일단 목에 좋은 도라지차부터 마시는 중인데 구수하고 진하기는 엄청 진하지 않고 딱 좋은 정도.. 차 좋아하시는 분들이라면 ""해피테라스"" 스토어 추천드려요♥",1
138,23.04.05.,5,"삼각티백 종류 선택: 도라지차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요","이전에 직접 검색해서 전체적으로(차 종류, 포장팩 상태, 가격, 주문 조건 등) 괜찮아 보이는 스토어여서 구매했다가 마셔보고 다음에 주문하게 되면 다른 차도 사봐야겠다 했는데 너무 만족스러워서 이번에 또 재주문하려고 합니다. 지퍼백으로 된 제품이라 깔끔하게 보관하기 좋고, 티백형태라 챙겨 마시기 편하네요~! 차 종류가 엄청 많아서 하나씩 맛보고파서 지난 번에 구매하지 않았던 차들로 주문했어요.. 이번엔 3팩 구매했더니 서비스로 텀블러까지 왔네요~~ 넘 좋아용!!
 일단 목에 좋은 도라지차부터 마시는 중인데 구수하고 진하기는 엄청 진하지 않고 딱 좋은 정도.. 차 좋아하시는 분들이라면 ""해피테라스"" 스토어 추천드려요♥",1
139,23.04.05.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",기관지가 안좋아서 배도라지 찾는 와즁에 해피테라스를 알게됐습니다. 맛도 좋고 포장도 깔끔하고 좋아요.,1
140,23.04.03.,5,"삼각티백 종류 선택: 호박차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",포장도 예쁘고 맛도 좋아요^^,1
141,23.04.03.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",포장도 깔끔하고 맛도 좋아요^^,1
142,23.04.03.,5,"삼각티백 종류 선택: 차가버섯차 티백 / 삼각티백 구성 선택: 10티백X5개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",포장도 깔끔하고 맛도 깔끔해요^^,1
143,23.04.02.,5,"삼각티백 종류 선택: 석류 콤부차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",주기적으로 주문해 마시는 상품인데 매번 배송도 빠르고 포장도 꼼꼼히 보내주셔서 아주 만족하는 상품입니다~,1
144,23.04.02.,5,"삼각티백 종류 선택: 현미차 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",현미차 너무 맛있어요,1
145,23.04.02.,5,"삼각티백 종류 선택: 마리골드차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","메리골드도 작두콩도 맛있어요.
카페인 걱정없이 건강하게 먹을 수 있어 좋아요",1
146,23.04.02.,5,"삼각티백 종류 선택: 야관문차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",항상 잘 마시고 있습니다,1
147,23.04.02.,5,"삼각티백 종류 선택: 호박팥차 1g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",다이어트 하면서 뜨거운물도 많이마셔서 맹물 못먹아서 시넛는데 굿굿입니다,1
148,23.04.02.,5,"삼각티백 종류 선택: 도라지차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",64926492947억점,1
149,23.04.02.,5,"삼각티백 종류 선택: 루이보스티 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","엄마,아빠 보내드렸는데 너무 맛있게 잘드시고 있다네요 다드시면 또 보내드리려구요^^루이보스티가 제일 맛있다하네요~",1
150,23.04.02.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","엄마,아빠 보내드렸는데 너무 맛있게 잘드시고 있다네요 다드시면 또 보내드리려구요^^",1
151,23.04.02.,5,"삼각티백 종류 선택: 연잎차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","엄마,아빠 보내드렸는데 너무 맛있게 잘드시고 있다네요 다드시면 또 보내드리려구요^^",1
152,23.04.02.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",구수하고 맛있어요^^,1
153,23.04.01.,5,"삼각티백 종류 선택: 유기농 자색돼지감자차 / 삼각티백 구성 선택: 25티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",너무 맘에드는 포장지와 맛도 좋아요두번째시켯습니다,1
154,23.04.01.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",한번 시켜먹고 또시켯네요,1
155,23.04.01.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",향기도좋고 맛도좋아요,1
156,23.04.01.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛있어요 구수해요 좋아요,1
157,23.04.01.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",신랑 사줬는데 좋은 것같다고 하네요,1
158,23.04.01.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",빠른배송 깔끔한 포장,1
159,23.04.01.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",아버지가 아주 잘 드시고 있습니다,1
160,23.03.28.,5,"삼각티백 종류 선택: 루이보스티 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송 완전 칼배송이구 맛잇어요 ~~ 다른 맛도 주문하러 올게요!!,1
161,23.03.28.,5,"삼각티백 종류 선택: 우엉차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",좋아요 ~~ 포장지가 바뀌엇네요 맛도 좋고 향도 좋습니다 또구매하러올게요,1
162,23.03.28.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",너무 맛익어여~~ 저번에 먹어보고 재재재주문입니당 좋아요!,1
163,23.03.27.,5,"삼각티백 종류 선택: 도라지차 티백 / 삼각티백 구성 선택: 100티백
유통기한꽤 남았어요포장적당해요맛 만족도맛있어요",매일 끓여셔 아이들 싸주는데 잘 우러나고 맛도 고소해요~,1
164,23.03.27.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요","이런 차종류 특유의 나무맛이 나긴 하지만 먹기 많이 거북한 정도는 아니에요
꾸준히 먹어보려 하는데 쉽지가 않네요 ㅎㅎ
찬물에 금방 우러나진 않아서 뜨거운물에 우려서 물에 태워먹어요",0
165,23.03.27.,5,"삼각티백 종류 선택: 작약차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",임신준비로 주문했어요,1
166,23.03.27.,5,"삼각티백 종류 선택: 대추차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요",임신 위해 주문했어요,1
167,23.03.27.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",재구매한건데 맛있어요.,1
168,23.03.27.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한꽤 남았어요포장적당해요맛 만족도맛있어요",포장도 잘 되서 왔어요 ㅋㅋ아직 안먹어봤지만 기대돼요!,1
169,23.03.27.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",선물했어요. 따끈하니 맛있다고 하네요 :),1
170,23.03.27.,5,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",선물했어요. 따끈하니 맛있다고 하네요 :),1
171,23.03.27.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","아주아주잘먹고있어요~
소분용포장지주셔서 덜어와서 삼실에서 먹구있습니다~
질리지않고 좋아아요",1
172,23.03.27.,5,"삼각티백 종류 선택: 칡차 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요",요즘 몸에 좋은거 챙겨먹으려고 칡차 주문해봅니다 쓴듯 하지만 뒷맛이 약간 단맛이 납니다 먹기 편해요,1
173,23.03.27.,5,"삼각티백 종류 선택: 계피차 티백 / 삼각티백 구성 선택: 100티백
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",100티백 호박팥차 바나바잎차 작두콩차 돼지감자,1
174,23.03.27.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",100티백 호박팥차 바나바잎차 작두콩차 돼지감자,1
175,23.03.27.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","부드러워 목넘김이 좋고
팥과호박의 달달함이 겹쳐
맛있어요~
몸속의 독소가 다 빠져 나가는듯~
암튼 너무 좋아요
다 먹고 또 재구매 합니다~^^",1
176,23.03.27.,5,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",비염에 좋대서 구매해봤어요 효과가 있길…,1
177,23.03.27.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",잘 우려나고 고소하니 좋네요,1
178,23.03.27.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",항상시켜먹어요 굿굿입니다.,1
179,23.03.27.,5,"삼각티백 종류 선택: 루이보스티 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",자주 사먹고 있어요 좋아요,1
180,23.03.21.,5,"삼각티백 종류 선택: 쑥차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",잘 마시고 있습니다^^,1
181,23.03.21.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",만족합니다 ~~~~~~,1
182,23.03.21.,5,"삼각티백 종류 선택: 쌍화차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",만족합니다 ~~~~~~,1
183,23.03.21.,5,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 50티백x2개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",비염에 좋다해서 꾸준히 먹거있는데 드라마틱하진 않지만 꽤나 효과있는 것 같아요!,1
184,23.03.21.,5,"삼각티백 종류 선택: 유자모과차 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",시켰던 차를 다 먹고 또 시킵니다 ㅎ 무료배송이라 너무 좋아요,1
185,23.03.21.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요",바나바잎차 항상주문해먹고있는데 이곳에서 두번째구매예요. 다른곳보다 저렴하기도하고 티백도 좋아서  이곳으로 변경했네요.ㅋ 무엇보다도 실길이가길어서  저에게는 너무 만족스럽습니다.,1
186,23.03.21.,5,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",티백으로 되어 있어서 먹기 편하고 향도 구수하니 좋아요!,1
187,23.03.21.,5,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛잇겟죵 ㅋㅋㅋ기대합니더,1
188,23.03.21.,5,"삼각티백 종류 선택: 호박팥차 1g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송도 포장도 잘왔습니다,1
189,23.03.21.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛있게 잘먹고있습니다,1
190,23.03.21.,5,"삼각티백 종류 선택: 우슬차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",우슬차 티백 물처럼 연하게 계속 먹고있는데 물맛이 좋아서  재구매 했어요,1
191,23.03.21.,5,"삼각티백 종류 선택: 마리골드차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",빠르게 잘 받았습니다. 다른 차로 재구매 했어요. 차가 어디에 좋은지 정보도 함께 기재 되어 있으면 구매 하는데 좀 더 쉽게 결정 할 수 있을 것 같아요.,1
192,23.03.21.,5,"삼각티백 종류 선택: 로즈마리차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",빠르게 잘 받았습니다. 다른 차로 재구매 했습니다,1
193,23.03.21.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","생수에도 잘 우러나요
고소해요",1
194,23.03.21.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛있어요 ㅎㅎㅎ 재주문 또 할께영 ㅎㅎ,1
195,23.03.21.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",선물 드렸는데 구수하고 맛있으시데요~,1
196,23.03.21.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",고소하고 맛있어요~,1
197,23.03.21.,5,"삼각티백 종류 선택: 여주차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",너무너무 잘먹고 있어요,1
198,23.03.20.,5,"삼각티백 종류 선택: 도라지차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛있게 잘 먹고 있습니다 ^^,1
199,23.03.20.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","맛있어요
오늘도 이렇게 타업체서 서비스받은 텀블러에 차 타서 틈틈히 이동할때도 마시고있어요
보리차,녹차에서 벗어날수있는 기회입니다.",1
